Novel,Writer
A Christmas Carol,Charles Dickens
A Tale of Two Cities,Charles Dickens
Barnaby Rudge- A Tale of the Riots of 'Eighty,Charles Dickens
Bleak House,Charles Dickens
David Copperfield,Charles Dickens
Great Expectations,Charles Dickens
Martin Chuzzlewit,Charles Dickens
Oliver Twist,Charles Dickens
Our Mutual Friend,Charles Dickens
Pictures from Italy,Charles Dickens
The Chimes,Charles Dickens
The Cricket on the Hearth- A Fairy Tale of Home,Charles Dickens
The Magic Fishbone,Charles Dickens
The Mystery of Edwin Drood,Charles Dickens
The Personal History of David Copperfield,Charles Dickens
The Uncommercial Traveller,Charles Dickens
To Be Read at Dusk,Charles Dickens
Doctor Pascal,Émile Zola
Fruitfulness,Émile Zola
Germinal,Émile Zola
His Excellency,Émile Zola
His Masterpiece,Émile Zola
L'Assommoir,Émile Zola
Piping Hot!,Émile Zola
Soil,Émile Zola
The Fat and the Thin,Émile Zola
The Fortune of the Rougons,Émile Zola
The Joy of Life,Émile Zola
The Ladies' Paradise,Émile Zola
The Rush for the Spoil,Émile Zola
The Three Cities Trilogy- Lourdes- Complete,Émile Zola
The Three Cities Trilogy- Paris- Complete,Émile Zola
The Three Cities Trilogy- Rome- Complete,Émile Zola
Theresa Raquin,Émile Zola
Truth,Émile Zola
Crime and Punishment,Fyodor Dostoyevsky
Poor Folk,Fyodor Dostoyevsky
The Brothers Karamazov,Fyodor Dostoyevsky
The Gambler,Fyodor Dostoyevsky
The Idiot,Fyodor Dostoyevsky
The Possessed (The Devils),Fyodor Dostoyevsky
Uncle's Dream; and The Permanent Husband,Fyodor Dostoyevsky
White Nights and Other Stories,Fyodor Dostoyevsky
Emma,Jane Austen
Mansfield Park,Jane Austen
Northanger Abbey,Jane Austen
Persuasion,Jane Austen
Pride and Prejudice,Jane Austen
Sense and Sensibility,Jane Austen
A Double Barrelled Detective Story,Mark Twain
A Tramp Abroad,Mark Twain
Adventures of Huckleberry Finn,Mark Twain
Life on the Mississippi,Mark Twain
Roughing It,Mark Twain
The Adventures of Tom Sawyer,Mark Twain
The Man That Corrupted Hadleyburg,Mark Twain
The Stolen White Elephant,Mark Twain
Guy Mannering,Walter Scott
Ivanhoe- A Romance,Walter Scott
Kenilworth,Walter Scott
Old Mortality- Complete,Walter Scott
Peveril of the Peak,Walter Scott
Quentin Durward,Walter Scott
Redgauntlet- A Tale Of The Eighteenth Century,Walter Scott
Rob Roy - Complete,Walter Scott
St Ronan's Well,Walter Scott
The Abbot,Walter Scott
The Betrothed,Walter Scott
The Black Dwarf,Walter Scott
The Bride of Lammermoor,Walter Scott
"The Fair Maid of Perth; Or, St Valentine's Day",Walter Scott
The Fortunes of Nigel,Walter Scott
The Monastery,Walter Scott
The Surgeon's Daughter,Walter Scott
Woodstock- or- the Cavalier,Walter Scott
